      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         444.92              6         216.74
         211.87              4         155.19
         444.92              6         105.59
         211.87              4         196.47
         317.80              5         228.25
          63.56              2         201.22
          63.56              2          97.78
          63.56              2         345.40
         317.80              5         183.00
         317.80              5         180.51
          63.56              2         467.05
         211.87              4         285.16
           0.00              0         339.37
          21.19              1         186.93
         211.87              4         267.12
         211.87              4         497.46
         127.12              3         234.23
         127.12              3         135.46
         127.12              3         240.59
         593.23              7         169.80
         211.87              4         175.36
         211.87              4         284.03
         211.87              4         300.65
         211.87              4         310.03
          21.19              1         302.26
          21.19              1         137.36
         444.92              6         363.93
          21.19              1         316.65
         211.87              4         277.48
         127.12              3         478.06
         317.80              5         210.44
         317.80              5         252.29
         762.73              8         369.07
          21.19              1         427.54
         211.87              4         270.14
         444.92              6         106.15
          63.56              2         329.94
          63.56              2         317.88
         127.12              3         198.10
         211.87              4         448.29
         444.92              6         451.33
         444.92              6         261.88
         593.23              7         162.58
          21.19              1         454.18
         127.12              3         146.62
         317.80              5         174.08
         593.23              7         397.90
          63.56              2         419.68
         444.92              6         214.98
         127.12              3         360.92
          63.56              2         298.74
         211.87              4         303.25
         127.12              3         397.13
         211.87              4         238.30
         127.12              3         328.78
          63.56              2         265.77
         127.12              3         303.02
          63.56              2         261.15
         211.87              4         266.90
          63.56              2         165.47
          63.56              2         161.58
         127.12              3         186.31
           0.00              0         243.43
         317.80              5         261.10
         211.87              4         244.69
         317.80              5         190.46
         317.80              5         344.12
          21.19              1         191.77
          63.56              2         110.20
         211.87              4         207.13
         317.80              5         278.95
         762.73              8         185.54
           0.00              0         322.58
          21.19              1         203.31
         127.12              3         507.49
         127.12              3         516.80
         444.92              6         253.71
          63.56              2         153.99
          63.56              2         476.20
         127.12              3         436.81
         211.87              4         257.64
          63.56              2         290.28
         127.12              3         296.19
          63.56              2         485.11
          63.56              2         443.23
          63.56              2         229.24
         317.80              5         262.46
          21.19              1         263.21
          63.56              2         419.49
         444.92              6         357.77
         444.92              6         153.32
          63.56              2         204.43
          63.56              2         261.86
         127.12              3         283.66
         593.23              7         151.27
          21.19              1         311.42
         211.87              4         480.02
         317.80              5         240.87
         211.87              4         234.50
         593.23              7         402.78
         127.12              3         191.16
          63.56              2         199.05
          63.56              2         153.69
          63.56              2         135.85
         211.87              4         208.19
         317.80              5         402.84
         127.12              3         367.86
          21.19              1         566.38
           0.00              0         357.68
         211.87              4         362.24
         317.80              5         502.75
         211.87              4         355.01
         211.87              4         364.06
         444.92              6         301.34
         127.12              3         191.55
         317.80              5         372.99
         444.92              6         173.47
         127.12              3         214.00
         127.12              3         449.03
         127.12              3         443.88
         211.87              4         161.58
         317.80              5         142.48
         211.87              4         382.10
         211.87              4         195.75
         593.23              7         267.82
         127.12              3         255.29
         211.87              4         444.15
         127.12              3         392.47
         444.92              6         437.18
         593.23              7         167.77
        1165.28             10         190.32
         127.12              3         448.13
         127.12              3         264.40
         127.12              3         403.77
         211.87              4         179.90
         211.87              4         163.18
          21.19              1         210.18
         317.80              5         149.34
          21.19              1         159.43
          63.56              2         286.46
         127.12              3         271.86
         593.23              7         150.84
          63.56              2         230.71
         127.12              3         322.49
         211.87              4         436.55
         211.87              4         233.39
         127.12              3         214.42
         127.12              3         401.60
         317.80              5         253.07
         211.87              4         373.11
          63.56              2         491.21
         593.23              7         174.41
          63.56              2         225.11
          63.56              2         352.06
         211.87              4         305.65
         317.80              5         245.59
         127.12              3         242.67
         211.87              4         305.29
         317.80              5         444.00
         317.80              5         574.63
         317.80              5         226.38
          63.56              2         289.29
          63.56              2         345.87
         127.12              3         212.83
         211.87              4         200.45
         317.80              5         230.69
          21.19              1         346.11
         211.87              4         249.25
          63.56              2         200.48
         127.12              3         232.45
         211.87              4         302.26
          21.19              1         328.26
           0.00              0         235.33
         444.92              6         213.80
         211.87              4         129.87
         127.12              3         247.19
         127.12              3         622.06
           0.00              0         169.87
         317.80              5         454.82
          63.56              2         506.04
          63.56              2         392.51
         317.80              5         251.49
         127.12              3         153.13
         317.80              5         209.81
         444.92              6         354.69
         762.73              8         278.94
          21.19              1         323.46
         317.80              5         192.76
          63.56              2         408.48
         317.80              5         174.97
          63.56              2         301.41
         211.87              4         116.20
         444.92              6         256.49
         127.12              3         247.35
         211.87              4         209.10
         211.87              4         273.73
         127.12              3         376.76
         317.80              5         333.32
          63.56              2         260.84
         211.87              4         328.32
          21.19              1         356.43
          63.56              2         376.68
         127.12              3         228.03
          21.19              1         188.37
         317.80              5         246.48
         444.92              6         163.63
         127.12              3         344.41
         211.87              4         232.37
          63.56              2         264.03
           0.00              0         470.67
          21.19              1         237.31
          63.56              2         432.48
          63.56              2         481.66
         593.23              7         189.16
         127.12              3         279.69
         127.12              3         196.24
         593.23              7         357.99
         953.41              9         205.61
         444.92              6         153.67
         127.12              3         287.87
         211.87              4         293.50
          63.56              2         290.20
          63.56              2         525.67
          21.19              1         477.79
          21.19              1         353.81
          21.19              1         247.22
         593.23              7         296.34
         317.80              5         245.24
         593.23              7         284.72
         211.87              4         334.88
          63.56              2         296.55
          63.56              2         628.54
         317.80              5         346.06
         593.23              7         361.23
         127.12              3         108.52
          21.19              1         144.44
          21.19              1         424.63
         317.80              5         366.93
         211.87              4         282.64
         127.12              3         248.75
         127.12              3         170.58
         211.87              4         160.67
         317.80              5         381.72
         211.87              4         329.25
          63.56              2         130.33
         593.23              7         299.07
         593.23              7         210.53
         317.80              5         186.24
          63.56              2         289.57
         127.12              3         354.10
           0.00              0         187.89
         593.23              7         292.57
          63.56              2         138.24
          63.56              2         157.53
         444.92              6         273.30
         211.87              4         266.60
          21.19              1         196.42
           0.00              0         322.93
         127.12              3         209.63
         211.87              4         316.75
         127.12              3         280.35
         211.87              4         532.53
          21.19              1         384.36
          63.56              2         326.21
         317.80              5         238.21
         444.92              6         309.51
         762.73              8         192.86
          63.56              2         183.07
         211.87              4         152.80
         211.87              4         175.98
         444.92              6         148.91
         211.87              4         312.65
          21.19              1         366.81
         211.87              4         291.88
         593.23              7         419.61
         127.12              3         233.49
         762.73              8         282.08
         211.87              4         182.31
         317.80              5         136.91
         317.80              5         148.06
          21.19              1         260.28
         317.80              5         389.12
          21.19              1         226.60
          21.19              1         201.96
         317.80              5         193.88
          21.19              1         502.90
         317.80              5         282.81
          63.56              2         328.63
         127.12              3         222.24
          63.56              2         220.86
          21.19              1         248.86
          21.19              1         356.27
         317.80              5         198.57
         211.87              4         306.25
         127.12              3         131.38
          21.19              1         255.78
          21.19              1         403.93
          21.19              1         285.42
          63.56              2         197.31
         211.87              4         267.07
         444.92              6         180.79
         127.12              3         445.84
         444.92              6         197.03
         444.92              6         372.22
         211.87              4         417.26
         211.87              4         163.51
         317.80              5         268.35
          21.19              1         229.55
         593.23              7         193.68
          63.56              2         238.53
          63.56              2         244.71
         127.12              3         275.09
         127.12              3         362.32
         317.80              5         377.55
         444.92              6         369.48
