    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         375.11              6         428.57
          53.51              1         376.37
         188.63              4         230.43
         162.55              3         459.56
         105.07              3         574.04
          88.49              3         312.73
         243.62              4         632.70
         444.97              5         298.83
         201.62              4         311.00
         333.85              5         555.77
         412.59              5         262.05
          16.85              1         333.01
         220.18              3         367.41
         656.12              8         596.30
         872.89              7         541.92
         234.65              4         329.12
         185.98              3         107.56
         163.33              3         476.32
         348.00              4         343.38
         216.87              4         309.21
          89.30              2         543.74
         334.77              3         503.66
         309.45              4         593.50
          41.24              2         372.03
         223.27              3         257.86
          90.16              1         745.85
         503.42              6         386.00
         645.77              6         384.96
         148.26              3         876.89
         504.03              5         456.61
        1017.28              7         504.40
          77.75              2         311.56
         630.88              6         169.35
        1135.98              8         434.08
         835.24              9         464.46
         573.77              5         759.98
          76.86              2         595.62
         215.97              4         450.84
         242.72              4         470.63
         252.71              4         291.74
         149.77              2         340.19
          55.12              2         448.28
         220.78              4         612.53
         134.23              2         257.15
         424.24              5         196.77
         430.17              6         221.86
         229.59              3         189.68
         464.50              6         262.60
         345.73              6         603.26
         713.58              7         607.94
         574.53              5         174.86
         575.29              5         401.99
         584.77              8         495.46
         131.28              3         369.44
         499.46              7         423.50
         207.09              4         975.71
         393.37              4         227.22
         444.78              6         195.68
         288.75              4         297.11
         571.41              6         605.61
         179.03              3         760.14
         218.03              3         396.60
         581.37              5         189.88
         490.18              5         293.00
         325.52              5         302.20
         110.70              3         516.01
         548.61              6         564.21
         372.15              5         473.13
         572.72              6         407.04
        1416.36             10         569.17
        1221.47              9         576.53
         838.56              8         455.42
         300.34              5         366.71
         932.13              7         293.08
        1180.15              9         270.12
          87.12              1         412.50
         716.64              7         165.19
           6.45              1         476.87
         302.92              3         222.15
         481.63              6         322.70
         123.13              3         275.48
         151.06              3         618.64
         361.96              4         670.81
         187.07              4         725.76
          53.21              2         524.14
         608.08              4         397.69
         272.94              4         489.96
           1.25              0         476.92
         781.73              9         401.22
         170.49              3         584.64
         228.11              4         503.30
         390.70              5         756.96
         237.60              5         255.85
         377.11              5         287.36
         244.90              3         759.29
         392.70              6         805.01
         794.70              7         506.30
         810.27              7         436.93
         494.61              6         688.71
         842.89              8         698.18
         614.32              6         716.27
         400.08              5         772.87
         137.17              2         540.74
         795.12              8         806.64
          81.28              3         376.14
         669.78              5         382.96
         428.84              5         527.03
          46.23              2         666.81
         379.04              4         315.37
        1279.42              8         518.46
         466.41              4         337.72
         482.81              4         584.20
         308.88              6         381.37
          66.51              2         391.21
         839.83              7         274.73
         128.09              3         297.17
         769.93              7         268.82
         241.04              5         725.40
         328.41              6         512.37
         289.07              5         669.86
         443.77              5         495.16
         293.74              5         560.13
         363.12              5         381.30
         284.26              5         573.45
         126.26              3         436.04
         268.47              4         385.05
        1195.93              9         245.49
         251.98              5         366.02
         375.47              6         269.15
         116.13              2         461.79
         621.05              7         676.44
         492.60              7         298.21
         506.02              6         776.39
         121.20              3         359.57
         156.62              4         414.71
          53.24              2         570.88
         464.26              4         324.17
         466.26              7         166.66
         442.07              6         555.54
         668.92              8         546.56
         519.38              6         942.93
         327.27              5         823.44
         169.98              4        1061.76
        1202.42             10         309.09
         161.49              3         854.96
         273.53              3         376.44
          69.18              2         786.55
         727.21              5         332.68
         107.32              2         514.51
         100.25              3         215.98
         378.89              5         343.75
         857.64              8         344.30
         761.93              8         657.52
         636.33              5         199.61
         226.61              4         315.20
          55.73              2         198.73
          77.01              2         719.76
         486.68              6         784.87
          58.77              2         148.82
         198.11              3         251.98
