      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          21.19              1         376.47
          63.56              2         151.52
         211.87              4         295.77
          63.56              2         357.50
         127.12              3         111.34
          21.19              1         430.77
         127.12              3         208.61
         127.12              3         209.88
         211.87              4         148.36
          63.56              2         259.38
          63.56              2         345.67
          63.56              2         242.04
         317.80              5         254.20
         317.80              5         384.08
           0.00              0         417.57
         127.12              3         361.21
         593.23              7         241.24
         211.87              4         326.29
         127.12              3         357.88
         127.12              3         412.26
         211.87              4         303.40
         317.80              5         220.05
         317.80              5         226.61
         127.12              3         366.07
         444.92              6         237.15
          63.56              2         416.38
          21.19              1         235.44
          63.56              2         237.16
         127.12              3         434.26
         317.80              5         298.87
          63.56              2         295.86
          63.56              2         312.13
          21.19              1         112.46
           0.00              0         511.10
         444.92              6         210.89
         317.80              5         446.21
         211.87              4         390.99
          21.19              1         335.71
         444.92              6         416.39
         127.12              3         215.43
         444.92              6         138.20
         317.80              5         216.49
         211.87              4         467.75
          63.56              2         262.33
         127.12              3         285.25
         317.80              5         587.87
         444.92              6         229.60
         127.12              3         639.28
         444.92              6         372.06
         211.87              4         222.81
         127.12              3         175.58
         211.87              4         319.01
          21.19              1         544.92
         211.87              4         312.66
         762.73              8         458.08
         211.87              4         379.17
          21.19              1         575.02
          63.56              2         216.60
          63.56              2         285.32
         953.41              9         390.87
         317.80              5         387.17
         444.92              6         392.50
         127.12              3         288.58
         444.92              6         304.27
         317.80              5         159.20
         953.41              9         306.37
         127.12              3         596.15
          21.19              1         489.14
         211.87              4         360.72
         444.92              6         251.98
          63.56              2         228.80
         953.41              9         371.38
          63.56              2         493.55
         317.80              5         436.71
         762.73              8         365.13
          63.56              2         246.56
         211.87              4         424.73
         127.12              3         125.80
         317.80              5         215.53
         127.12              3         368.99
         127.12              3         441.51
          21.19              1         194.94
         317.80              5         380.17
         211.87              4         237.22
          63.56              2         204.00
         211.87              4         282.53
         211.87              4         327.33
         127.12              3         271.24
         127.12              3         263.88
         444.92              6         421.01
         127.12              3         166.49
         127.12              3         341.12
         317.80              5         235.96
          21.19              1         646.40
         127.12              3         296.60
         317.80              5         233.59
         127.12              3         109.04
         317.80              5         152.91
          63.56              2         289.82
         127.12              3         236.40
         211.87              4         253.83
         211.87              4         395.49
          21.19              1         371.17
         444.92              6         397.98
         444.92              6         313.88
         444.92              6         384.94
         593.23              7         520.71
         762.73              8         221.57
         211.87              4         249.32
         444.92              6         195.50
         211.87              4         131.68
         317.80              5         291.38
         317.80              5         204.19
         593.23              7         303.61
          63.56              2         207.51
          63.56              2         135.83
          21.19              1         312.83
         317.80              5         306.69
         317.80              5         283.26
         317.80              5         406.72
          21.19              1         196.24
          21.19              1         363.03
         444.92              6         160.14
         317.80              5         452.54
         593.23              7         273.76
          63.56              2         442.15
         211.87              4         228.08
         444.92              6         246.30
         444.92              6         147.26
         762.73              8         153.97
         317.80              5         363.51
         211.87              4         289.61
         127.12              3         222.66
         762.73              8         437.31
         953.41              9         375.69
         211.87              4         315.36
         444.92              6         252.99
         211.87              4         310.29
         127.12              3         449.50
         211.87              4         279.98
         953.41              9         256.21
          63.56              2         417.69
         317.80              5         328.98
          63.56              2         250.38
         317.80              5         398.92
         127.12              3         215.61
         127.12              3         422.98
          63.56              2         218.11
         317.80              5         380.72
         127.12              3         353.69
          63.56              2         501.27
         444.92              6         233.57
         211.87              4         211.98
         127.12              3         325.57
          21.19              1         386.69
         444.92              6         267.63
         127.12              3         408.91
         127.12              3         246.30
         211.87              4         134.46
         593.23              7         125.05
         211.87              4         291.80
         593.23              7         313.70
         593.23              7         112.30
          21.19              1         213.84
           0.00              0         229.08
         444.92              6         205.21
         444.92              6         319.70
         127.12              3         140.76
         127.12              3         345.78
         593.23              7         391.92
          63.56              2         129.02
         211.87              4         350.91
         211.87              4         227.91
          63.56              2         178.72
          63.56              2         304.42
         953.41              9         135.64
         127.12              3         216.07
         211.87              4         237.06
          21.19              1         297.83
         317.80              5         376.56
           0.00              0         274.57
         444.92              6         211.73
         127.12              3         417.54
         211.87              4         508.23
         211.87              4         345.42
         211.87              4         385.10
         211.87              4         176.86
         127.12              3         417.01
         127.12              3         316.40
         127.12              3         356.14
           0.00              0         501.82
         593.23              7         266.50
          21.19              1         400.69
         127.12              3         214.23
          63.56              2         312.85
           0.00              0         196.60
         444.92              6         211.06
         317.80              5         263.63
         127.12              3         303.19
         317.80              5         260.67
         211.87              4         247.62
         593.23              7         237.69
          63.56              2         209.39
         317.80              5         294.32
         211.87              4         562.56
         127.12              3         412.87
         127.12              3         303.67
         953.41              9         244.42
         444.92              6         346.03
          21.19              1         394.56
         762.73              8         281.64
           0.00              0         347.31
         444.92              6         217.84
         317.80              5          96.04
         211.87              4         166.52
         211.87              4         359.40
          21.19              1         361.77
         211.87              4         238.61
          21.19              1         346.36
         127.12              3         330.60
         127.12              3         237.32
         127.12              3         115.25
