      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         321.89              4         178.14
         420.21              4         383.28
         210.70              3         454.64
          86.28              2         235.09
         711.86              7         170.68
          17.67              0         480.57
         300.69              3         392.87
         341.47              4         557.45
         409.16              5         366.30
         106.86              3         523.29
         231.08              3         835.47
         521.53              6         474.98
         212.06              4         581.00
         208.07              4         697.33
          25.45              1         639.76
         195.72              4         593.90
         153.57              3         231.22
         290.56              5         153.31
          72.48              2         237.20
         141.70              3         360.20
         414.07              5         430.29
          35.58              1         212.24
         238.45              4         419.40
         305.06              5         202.30
         494.89              6         511.66
         425.82              5         472.96
         279.73              4         360.65
         365.36              5         214.74
          53.89              2         521.33
         739.30              5         451.41
         417.82              4         388.39
         370.48              6         351.58
          76.82              2         406.23
         204.93              3         202.29
          15.29              1         584.40
         215.01              3         548.63
         333.12              2         143.23
         161.43              3         642.72
         365.55              6         521.02
         261.63              4         520.15
         239.16              4         259.47
         846.73              7         208.71
          32.37              1         429.10
         699.13              6         258.91
          13.00              1         454.92
         486.23              5         316.59
         102.11              2         423.91
         140.79              2         129.96
         306.60              5         591.69
         180.70              4         526.99
         162.41              3         149.07
         393.78              4         436.95
         327.62              4         414.92
         538.29              7         659.19
         689.59              6         412.66
         485.33              5         289.37
         113.23              3         587.57
         140.53              3         775.47
         342.26              4         235.58
         373.32              4         578.63
         236.36              3         431.76
         401.25              6         471.42
         375.73              4         375.14
         173.59              4         469.78
         230.68              3         483.22
         213.63              3         303.56
         223.06              3         429.69
         529.41              5         348.38
         148.26              2         366.18
         375.23              5          89.57
         373.25              5         543.30
         359.49              2         363.22
         454.76              5         277.92
         157.96              3         181.52
         238.02              3         606.73
          43.43              1         702.94
          42.00              1         402.85
          69.02              2         433.13
         100.18              3         380.00
         282.69              3         465.02
          14.16              0         408.89
         715.53              7         179.34
         470.06              5         200.43
         123.27              2         595.47
         344.13              5         682.77
         469.94              5         381.68
         249.85              4         170.15
         345.00              5         497.35
         191.03              3         720.11
         535.39              5         428.99
         145.70              3         341.63
         356.69              5         436.99
         210.45              3         306.87
         595.54              6         409.91
         161.98              3         412.41
          98.61              3         540.92
         175.19              4         342.40
         187.06              3         735.49
         413.58              5         723.62
          77.15              2         455.80
         589.59              7         550.32
         205.40              3         586.71
         278.90              5         278.13
         124.96              3         583.19
         299.04              6         205.41
         649.00              6         151.72
         226.39              4         506.57
          91.94              2         810.61
         404.39              4         532.16
         336.08              6         624.97
         119.14              2         559.95
         612.50              6         370.70
         390.35              6         228.65
         425.59              5         360.04
         473.52              6         446.75
          68.61              2         170.84
         211.24              3         569.92
         204.03              3         583.09
          69.95              2         429.95
         296.13              3         714.36
         538.76              7         564.60
         852.42              8         275.37
         286.17              4         273.93
         639.96              8         314.40
         102.60              2         533.86
         420.10              5         369.87
         159.43              4         431.74
         273.65              4         274.07
         397.18              6         255.32
         351.94              4         163.06
         212.88              3         403.55
          50.71              1         579.61
         511.15              6         318.75
         187.62              4         641.28
         262.19              4         430.87
         623.65              5         523.26
         526.69              5         651.86
         150.38              3         627.16
         218.77              4         276.62
         201.02              3         605.28
          14.80              1         190.05
         123.75              3         319.74
          13.92              0         384.00
         191.07              3         600.33
         559.59              6         124.15
         598.50              6         267.40
         138.47              3         486.70
         199.39              3         545.21
          97.63              2         611.86
         250.71              4         216.21
         454.21              6         353.34
          66.50              2         669.25
         384.41              5         425.13
         668.15              8         254.13
         463.17              5         369.36
          49.77              2         808.78
         152.14              3         641.45
         144.79              3         522.60
         144.62              4         533.78
         357.74              5         315.02
         385.79              6         441.61
         265.00              4         341.49
          93.37              2         208.69
         219.99              2         484.55
         478.25              7         330.65
         315.20              5         305.52
         209.15              3         310.04
         129.09              3         742.55
         119.97              3         807.73
         391.33              5         502.59
          89.79              2         326.79
         118.16              2         344.59
         138.91              2         730.10
         411.75              5         597.83
         242.49              4         324.58
         725.40              5         392.56
         114.48              3         466.20
          72.23              2         138.51
         385.36              5         203.84
          92.88              3         714.43
         110.30              2         460.63
         161.95              3         646.61
         155.85              3         411.20
         165.07              3         298.89
         340.05              5         561.78
          28.71              1         220.65
         261.97              5         469.76
          81.11              2         455.15
          19.06              1         337.21
         609.39              7         595.20
         325.85              4         687.43
         270.92              3         574.03
         204.40              3         166.37
         136.11              3         191.10
         250.76              4         457.76
          43.92              1         273.86
         207.38              4         487.96
          99.51              2         262.84
         403.60              5         530.50
         328.97              5         589.45
         493.76              6         353.91
         338.00              3         389.92
         386.09              4         530.70
          20.39              1         364.88
         239.65              4         338.74
         430.50              6         250.02
          45.32              2         571.21
         231.17              4         470.14
         143.71              2         542.49
         389.07              4         360.17
         337.97              5         521.16
         127.34              3         382.97
         383.97              5         474.27
         298.07              4         433.93
         229.11              3         608.15
         116.59              2         335.56
         196.52              3         573.01
         677.11              8         404.65
         182.07              3         575.71
         102.86              3         378.17
         362.53              5         204.29
         200.65              4          99.72
         143.62              3         645.11
         597.79              7         457.63
         430.79              4         238.39
         547.65              5         231.51
         400.39              5         453.24
         430.33              4         284.90
          69.05              2         500.14
         402.19              4         656.72
         146.73              3         532.63
         168.49              3         353.62
         269.49              5         719.58
         625.43              8         359.81
         168.46              3         610.27
         227.79              3         492.07
          39.22              1         447.32
         871.77              6         301.46
         560.05              6         342.32
         195.69              4         404.66
         135.33              3         671.11
         238.04              4         397.57
         551.72              7         354.75
         216.51              3         622.36
          76.33              2         426.50
         156.83              2         614.35
         349.56              4         277.84
         147.60              4         633.97
         485.41              4         498.85
         571.63              6         534.38
          62.67              1         519.16
         377.19              4         289.40
          16.72              1         550.06
          45.48              2         185.12
         232.59              4         474.62
         306.60              5         523.20
          70.53              2         552.09
         490.18              5         197.34
         328.00              4         442.11
         112.81              3         208.94
         273.29              5         385.62
         167.12              4         465.36
         200.37              4         532.20
         605.74              5         116.74
         344.68              4         604.35
          51.36              2         553.59
         604.62              5         402.82
          68.04              2         519.57
         482.51              4         567.57
          62.28              2         649.66
          62.30              1         243.89
         275.67              4         172.10
         298.94              4         214.12
          97.49              2         541.70
         368.88              5         265.55
          49.45              2         850.14
          11.92              0         742.29
         236.79              4         499.92
         380.79              4         479.32
         168.71              2         672.33
         196.54              3         479.95
         146.07              3         358.56
         109.07              3         496.36
         306.85              4         723.49
         562.96              7         224.64
