 # Soft ZPE restriction, Energy (cm-1), speed (m/s)
 #Water ZPE (DMC): 4713.0629051, HWW ZPE (DMC): 12528.93462455
 #E_given = DMC ZPE + 3550 =21233.1103893624.
 #Dvib = Evib - ZPE
 #D0 = E_given - Erot(W) - Erot(HWW) - Evib(W) + Evib(HWW) - E_COM,E_COM=0
 
   #Erot(W)cm-1    #Speed(m/s)
         411.96         159.80
         273.32         408.06
          77.01         596.05
          55.18         417.93
         369.13         285.78
          14.26         310.36
         402.34         136.18
         372.08         257.92
         192.26         580.70
          22.24         474.98
          33.94         391.55
         239.64         416.36
          75.36         111.26
          76.14         186.95
         278.22         389.73
         135.20         358.86
          93.29         540.06
         355.39         481.56
         396.75         332.37
         337.28         166.69
         321.26         445.59
          39.33         244.84
          74.92         462.54
         415.50         223.55
         177.14         327.98
         125.58         430.31
         121.49         394.51
         148.64         529.10
          38.74         409.58
         266.02         456.51
         148.43         584.89
          44.03         658.74
         216.71         222.72
         207.51         309.47
         462.73         261.19
          17.31         543.19
          74.99         535.06
         331.33         508.32
         123.82         276.86
         314.42         365.70
         139.86         645.20
          66.28         265.61
         139.05         283.15
         145.67         519.03
         367.96         276.94
         222.62         235.01
         122.45         553.60
          89.74         320.41
         227.04         567.96
          97.85         177.47
         179.73         241.93
         108.04         555.51
         153.98         436.54
          68.86         352.27
         225.79         286.80
         169.13         395.57
         184.80         446.60
         185.91         503.46
          48.52         309.96
         158.92         604.70
          15.22         310.56
          40.08         173.12
         126.27         582.81
          97.79         382.91
          36.19         259.23
         351.69         285.35
         277.92         342.19
         217.84         625.83
          59.41         255.11
         290.18         442.39
         203.33         359.05
         204.01         285.59
         145.92         328.92
         132.62         425.72
         445.44         216.38
          82.25         580.05
         198.33         380.95
          34.44         435.46
         102.01         116.43
         168.67         264.92
          80.44         342.59
         437.58         250.77
         282.37         256.88
         160.82         510.14
         111.68         412.25
         180.11         477.17
         209.65         465.32
         244.34         234.37
          17.62         697.80
          74.22         429.92
         270.25         296.04
         218.53         423.66
          15.56         488.37
         398.17         263.02
          13.17          84.76
         249.85         605.17
         101.04         635.97
         280.03         123.82
         101.14         477.60
         186.85         244.87
         177.75         396.47
         102.16         657.12
         265.53         363.10
         260.77         531.07
         128.12         275.63
         263.21         425.49
           4.29         275.93
         214.27         344.49
         602.59         203.34
         237.83         353.65
         392.99         263.24
         200.73         350.67
         391.09         409.55
          26.65         366.73
         130.80         559.07
          68.87         684.47
         487.66         163.83
         239.40         414.09
          64.01         392.46
         386.61         474.24
          71.24         383.50
         206.25         522.79
         398.43         352.03
         162.73         205.06
         234.08         367.96
         132.75         495.64
          84.73         436.52
         167.90         179.93
          67.98         570.73
          16.81         424.52
         479.17         304.89
          61.72         403.75
         237.69         401.76
         140.85         371.34
         221.88         625.21
         116.03         351.07
         492.96          81.99
         172.62         439.05
         395.89         373.91
         275.21         526.46
         234.02         329.66
         129.33         189.97
         134.56         235.36
         308.19         246.69
         287.82         465.81
          70.76         356.05
         201.46         475.21
          63.35         218.48
          55.34         256.09
          25.04         133.26
         337.64         293.88
         160.28         502.45
          41.83         516.06
         186.96         390.56
          61.16         559.83
          53.77         253.74
          69.71         229.71
          36.08         293.56
         577.79         186.60
         294.11         490.05
         212.92         324.00
         135.67         417.55
         403.81         362.62
         182.45          54.06
          81.72         414.69
         160.34         269.19
          60.90         236.38
         127.41         228.73
         297.85         348.21
          64.22         220.92
          39.53         288.98
         128.47         250.34
         166.50         413.32
         199.79         574.45
         211.62         484.58
         228.32         262.82
          81.27         258.03
         374.91         287.14
         215.01         374.86
         227.63         341.51
          92.00         360.29
         167.36         262.21
         302.81         515.33
          97.30         508.68
          18.91         536.13
         305.14         475.04
         130.84         312.19
         207.21         290.06
         146.49         304.83
         148.60         182.12
         274.13         533.56
          93.23         529.26
         194.85         436.33
         212.18         487.70
         103.92         287.25
         207.10         369.49
          62.89         369.87
         114.56         258.32
          89.72         382.64
          12.44         180.11
           3.54         282.84
         216.02         540.06
          21.60         648.78
         435.72         325.74
         327.16         340.42
         277.97         411.48
         443.65         159.40
         179.68         362.67
          29.29         317.50
           6.39         261.03
         150.16         494.30
         352.67         183.68
         295.94         413.11
          50.87         378.26
         135.75         234.97
         371.89         256.18
         221.02         544.05
         379.01         379.09
         202.81         452.51
         122.05         263.28
         262.25         432.39
          62.18         604.44
         304.99         330.49
         407.69         355.17
          99.33         457.25
         179.26         429.40
         550.31         158.37
         170.31         629.53
         150.22         382.63
         244.16         278.21
         300.21         396.46
         388.46         344.83
          50.02         164.17
         360.37         356.08
         174.52         509.48
          99.03         394.19
         106.22         284.08
         198.35         467.70
         278.73         403.92
         323.10         392.15
          79.78         109.14
         169.20         225.81
         540.02         141.96
         110.37         466.06
          82.64         230.77
         178.67         385.42
          49.91         413.71
         223.64         525.13
         451.77         251.49
          94.82         456.64
         124.72         328.21
         297.60         356.14
         269.63         381.90
         302.53         483.06
         151.97         357.15
         285.26         163.71
         240.26         322.13
          45.42         245.19
         286.40         229.52
         402.43         223.10
         491.03         267.42
         203.92         149.06
          92.30         316.68
         142.67         415.31
          40.76         486.55
         234.67         121.75
          64.80         382.56
         126.07         407.16
          39.57         381.89
