 #Speed(m/s)      #Erot(cm-1)
   463.990318164674        40.9591646175913     
   222.430648353228        113.816998484641     
   415.075257849152        254.544232877642     
   637.063791865646        104.794321650825     
   173.565016581857        575.085826172941     
   409.590305362261        7.47392307902178     
   584.810571247152        479.610142744625     
   613.783878866225        430.055733445955     
   812.847269625216        536.655084603201     
   238.075516516761        672.838873336475     
   394.533476209971        130.055942687757     
   252.343716522245        56.4547779124150     
   663.771777751341        220.248807186063     
   179.551446259681        568.960612239654     
   311.585904220540        563.192972954873     
   209.924893997363        51.4316099985066     
   1043.73956590421        655.545645472524     
   346.483113082117        149.566846065615     
   552.940443501460        482.212228890644     
   247.322507975739        282.652089522416     
   177.210630844450        390.662976800636     
   545.759181600933        194.059327332763     
   241.513727255129        353.921260867536     
   292.928992736550        96.3764120889261     
   273.614526459203        378.517283106238     
   527.469049254579        439.924329069405     
   380.934546697693        527.344005659722     
   523.919149793233        48.0269502936572     
   222.324566016818        152.051545905666     
   558.102911772398        255.428466633229     
   593.963491226757        30.6600291975095     
   605.657228018452        191.568494564707     
   330.235399485728        471.991406851037     
   410.370015878798        201.269309401388     
   166.493210313928        434.747497381108     
   350.941594663297        588.009656732629     
   380.122807525110        414.972412716466     
   460.732395182156        275.541597131814     
   316.945250969410        413.383061326254     
   272.391743383369        99.7192537146041     
   163.389554910200        339.436530852280     
   826.236891067886        36.0185060604463     
   214.768270855248        226.720925632393     
   386.865040973781        376.234478681393     
   473.250829453433        116.491885747169     
   827.683447091140        305.843951852973     
   570.411700026418        656.018294391200     
   142.450970278410        432.809701262007     
   607.370200741217        99.6587306362080     
   709.188547029274        225.507367250738     
   282.680163136741        736.286992113932     
   520.044765440959        105.699977585118     
   130.356837678766        289.429121104011     
   455.198701884058        49.5145442966178     
   391.865186844898        49.7819421507418     
   483.731130320889        226.502515106526     
   156.437003376209        700.834874004238     
   598.140336566232        154.559011925428     
   457.659862292321        1488.52142254645     
   272.026775491223        50.1795753042678     
   607.454305886126        693.803227625475     
   587.619242564350        403.096959907339     
   607.169703659240        540.280672924708     
   398.755692045318        757.885575645872     
   150.810300339693        305.669228089470     
   670.843178441155        353.816500480553     
   309.690982409230        14.4731091678745     
   158.972774481057        128.159308873616     
   393.918731946540        1293.78798325328     
   679.457297135132        388.202742918022     
   516.797476130771        61.9231267586653     
   377.517391453171        98.0977536605469     
   341.157954702328        79.5735262919254     
   282.846576454562        155.569018278098     
   368.660721940223        865.423143040644     
   401.812680930424        10.2962811637692     
   279.869534750399        113.368940663271     
   537.583080991302        238.080205692277     
   492.100253313379        301.305064624596     
   254.022168393391        380.638566940371     
   506.997091387986        543.257239701692     
   350.520563652170        339.846280332870     
   534.882491300974        608.381541495621     
   498.970186201117        172.146940659615     
   317.060629268016        440.512564869581     
   289.029813687828        145.025990932171     
   392.643176412787        151.661498787049     
   625.979068890626        231.994323211072     
   615.723054392805        23.3363681600041     
   615.744304777966        203.961107828260     
   254.330395069107        146.063023092180     
   418.785432969852        12.9308423648302     
   295.531147045909        397.355446695187     
   714.355241324551        133.531996256954     
   741.017448977217        91.0599012036442     
   358.356593304547        636.486865908584     
   127.164228610750        157.160188351938     
   660.485658396913        57.8691240531593     
   308.860332345813        75.8316453127141     
   763.919920832285        177.496006083300     
   419.891879938976        371.552116354257     
   305.907261833783        61.8873884693070     
   579.504276111626        797.601075598856     
   535.181480841289        251.075359890558     
   766.787875675997        157.717132163981     
   197.074249242452        398.194626593598     
   607.993728468018        50.2073352266495     
   580.461307300409        197.380003935492     
   547.932621072673        72.6104758678920     
   491.044016000361        153.975279285030     
   216.026997646773        129.050057096875     
   428.843064129756        740.036430344533     
   612.059524527908        1293.57831883680     
   374.962959156692        303.703944847930     
   400.243375784983        30.8157929784284     
   401.741357088961        177.518700547258     
   389.085663408651        618.172971597872     
   164.199547935047        322.545316936126     
   367.444458249354        158.840305575548     
   505.997675522134        459.463648121111     
   546.821081935538        137.786596052821     
   649.530234215694        452.994068534160     
   427.151966994416        533.519215267816     
   212.817579855698        211.010875598748     
   140.058311506148        170.449703011615     
   480.166301930466        31.0171962857965     
   276.024099969868        403.674019274093     
   261.311410001271        300.110600719422     
   210.974438073013        181.546753023928     
   903.147988890724        218.396381062213     
   317.410563145156        168.159750669486     
   680.168317479164        362.505084234839     
   654.612514702884        1407.24112326159     
   239.805002424698        1.66820676482283     
   458.042278913153        130.071176841330     
   338.546769747762        122.567491904335     
   362.204059632146        612.267938708012     
   655.053072441761        196.248509059205     
   670.349614696216        852.744486653885     
   242.040819575641        95.8134869719228     
   342.758404974898        316.234724385935     
   251.279584976432        588.497590621220     
   682.965446576933        198.533538065094     
   106.326003989830        208.244503064572     
   465.862911896510        294.881577918097     
   569.761987164796        322.519200478974     
   386.899619708881        292.225955577348     
   725.328679145208        734.660938985235     
   321.380092361908        170.428904833974     
   801.380447550007        910.977986652321     
   765.263674478464        87.9090699417964     
   118.635987226404        176.398703370608     
   187.756254890920        271.736285771318     
   635.853171046342        170.626567258999     
   969.106466904736        62.3679067285520     
   378.653691880689        1021.02179029007     
   535.301084222919        293.158962686321     
   36.3710053173640        863.919537438497     
   659.687432282023        202.111318000137     
   177.635479103969        399.758980509730     
   64.0014455704740        208.694383516801     
   462.575227507822        169.545686853527     
   625.975932736646        23.5222779046150     
   354.333252041926        242.635030837649     
   443.789488528222        43.8497591408217     
   301.676523877304        553.959034553960     
   178.165706354851        293.536790397092     
   342.627597319759        255.586054872544     
   317.403352952190        194.122209291761     
   352.098121972912        419.093718977613     
   698.317793393228        126.796023052555     
   708.690566780576        270.903943378249     
   867.398630610194        283.336026328646     
   438.004141717186        37.7839703593693     
   487.856824657274        342.203062782966     
   8.97357645928347        378.208016311503     
   292.161574670237        306.501676023607     
   220.060389875631        278.406179710529     
   334.716032802674        399.401808435331     
   594.426427170083        206.497132291807     
   196.863070584602        309.239532990271     
   218.482434479549        196.067809791353     
   554.057921427483        764.526019572453     
   324.844217576818        496.281881832328     
   400.236833474059        225.111991581881     
   230.365660465868        247.648691207475     
   135.401691144423        424.420804849100     
   222.412640976845        143.379627833550     
   397.052961740154        95.3565561512121     
   364.753566716270        483.896066117777     
   226.218113045890        59.4962549022426     
   650.906159308912        311.593303121732     
   449.755991686510        19.2694326539968     
   663.050467555840        145.390404213732     
   191.568348214720        205.463508406100     
   550.947461302192        259.250430690259     
   132.912301818656        182.954253950362     
   561.836935382555        313.677465003700     
   285.151883181286        31.6991146997511     
   389.770905255660        172.598405241330     
   282.111387988818        133.155155339912     
   196.626146442554        372.921368149596     
   424.607800761427        68.5264143774920     
   757.804766997059        1175.68489686801     
   289.257459446135        145.307855044649     
   208.711828889860        604.848566987790     
   625.564260643458        140.946146107484     
   393.759401936821        6.17988266799956     
   432.908725709019        34.0903565352439     
   513.735602553233        641.309798152240     
   586.804605079255        31.1108583820320     
   140.068871091609        1042.92311131258     
   662.593317216409        132.571834152075     
   359.026483139308        1152.87341540841     
