      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         615.30              6         336.15
         396.82              5         316.39
         349.51              5         372.96
         233.48              3         342.03
          36.94              1         484.66
         263.23              4         474.45
           2.53              0         118.53
         464.09              4         321.48
         185.16              4         570.55
         654.45              7         522.48
         148.60              3         201.69
         390.53              5         398.89
          49.17              2         361.49
         362.80              4         741.41
         151.56              3         526.56
         293.68              4         393.95
         536.81              6         473.69
          52.06              2         544.45
          95.27              2         402.91
         634.30              6         199.55
         547.16              6         507.71
         286.79              4         601.69
         281.15              3         556.84
         107.44              2         296.71
          90.50              2         675.61
         123.76              2         463.48
         782.93              8         170.27
         311.34              5         538.61
         272.09              3         180.85
         176.15              3         473.72
         273.98              4         358.37
         312.69              3         452.59
         185.66              4          90.72
         703.81              6         360.96
         175.53              3         338.74
          11.65              1         434.38
         114.60              2         644.80
         363.28              6          72.39
         228.81              3         677.25
         362.36              4         457.40
         123.08              2         361.80
         183.03              3         123.13
         668.61              6         393.70
         182.97              4         337.99
         291.86              4         579.85
         546.57              6         344.33
         506.07              5         381.41
         317.34              5         479.63
         151.77              3         654.89
         207.48              4         333.71
         135.24              3         614.78
         418.33              4         369.89
          99.75              2         396.52
         368.15              4         410.16
         133.95              2         565.00
         199.84              2         493.80
         197.94              4         402.54
          22.20              1         552.94
         395.76              3         444.78
          81.75              2         249.54
         158.59              2         367.44
          68.90              2         560.01
         521.54              4         250.11
         356.34              5         557.20
         429.62              6         396.92
         403.61              5         242.66
         336.14              6         232.43
         200.40              2         589.21
         459.36              5         227.86
         838.36              7         282.61
         430.08              6         498.84
         361.08              5         535.20
          79.35              2         883.28
         349.10              5         567.44
          99.10              3         248.52
         220.48              4         282.95
         286.25              3         493.00
          24.97              1         298.74
         182.68              3         489.20
         195.34              4         565.93
         339.86              4         392.79
          99.32              2         420.60
         566.66              5         474.53
          27.55              1         687.42
         201.99              3         817.55
         205.98              3         345.24
         116.91              2         273.04
         146.06              3         220.33
         180.23              2         637.40
         609.42              6         388.02
         240.80              3         700.47
         241.94              4         445.40
         216.91              3         418.82
          49.30              2         162.82
         301.94              5         495.56
         291.62              4         557.06
         373.79              5         360.88
         726.34              9         401.19
         415.44              6          95.55
          56.79              1         502.79
         450.74              5         345.15
          67.91              2         799.63
         309.31              4         154.97
         144.51              3         434.46
         527.67              5         334.34
         270.33              5         548.27
          98.35              2         495.65
         192.00              4         595.01
          98.26              3         465.24
         211.53              3         426.45
         334.41              4         460.81
         376.07              6         264.94
         393.26              4         185.55
         187.00              3         501.69
         621.06              5         467.51
         570.80              7         399.73
         260.07              3         518.03
         137.16              2         556.86
         200.07              4         266.10
         520.34              7         508.50
          90.32              2         420.66
         723.69              7         402.69
         171.39              2         398.25
          26.79              1         569.14
         262.07              4         624.58
         190.41              4         411.99
          49.66              1         338.79
         186.36              3         171.05
         871.20              6         104.94
           8.27              0         863.58
         139.47              3         414.48
         301.28              5         323.75
         186.39              4         636.57
          81.12              2         527.77
         219.87              4         352.02
         242.75              4         443.96
          52.45              2         561.88
         278.51              5         525.47
         134.02              3         781.56
         167.46              3         589.66
         247.42              4         578.14
         302.90              5         604.11
         160.84              3         699.88
         119.67              3         821.07
         143.00              3         286.44
         364.61              4         388.78
         320.53              4         436.72
         404.47              4         727.69
         177.03              2         479.72
         226.23              4         433.64
         293.91              4         505.05
          17.16              1         641.85
         548.21              6         419.21
         438.31              3         504.18
          93.40              2         217.63
         115.40              2         436.11
         145.38              3         638.48
         601.12              7         108.69
          18.24              1         514.99
         335.60              4         311.56
         594.33              6         353.03
          47.01              2         281.71
         174.04              2         304.19
          87.08              3         289.21
         144.06              3         348.36
         302.89              5         152.42
          99.53              2         230.74
         177.52              3         360.31
          72.40              2         685.76
         134.37              3         604.45
          72.07              2         217.48
         144.73              2         370.34
         785.37              6         179.23
         426.00              5         348.87
         141.71              3         398.47
         216.67              4         377.98
         166.11              3         542.90
         318.30              5         658.15
         146.00              3         255.38
         888.67              7         226.58
         131.93              3         280.57
         387.90              4         662.07
         188.06              4         552.97
         385.54              4         468.51
          65.56              2         355.81
         199.30              3         485.43
         222.55              4         597.96
         212.30              4         457.90
         217.22              3         249.04
         382.19              5         502.37
         762.47              9         299.61
         180.61              3         284.79
         363.02              4         462.76
