      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          21.19              1         229.15
         593.23              7         193.86
          63.56              2         238.54
          63.56              2         244.89
         127.12              3         275.33
         127.12              3         362.27
         317.80              5         377.19
         444.92              6         369.12
         127.12              3         316.89
         317.80              5         260.88
         211.87              4         403.78
          63.56              2         323.76
         127.12              3         425.90
         317.80              5         281.16
          21.19              1         275.87
         317.80              5         202.61
          21.19              1         295.67
         127.12              3         199.77
         127.12              3         140.08
          21.19              1         297.33
         762.73              8         318.17
         317.80              5         205.22
         211.87              4         242.05
          21.19              1         338.76
          63.56              2         421.69
         211.87              4         233.56
         127.12              3         141.24
         211.87              4         139.00
         127.12              3         313.25
          21.19              1         129.55
         127.12              3         586.23
          21.19              1         186.19
         211.87              4         255.33
          63.56              2         217.09
          63.56              2         256.04
         127.12              3         323.72
         127.12              3         175.54
         211.87              4         260.89
          63.56              2         218.86
         127.12              3         281.66
         444.92              6         218.92
          21.19              1         122.66
         127.12              3         301.84
         211.87              4         283.17
         444.92              6         370.68
         211.87              4         188.04
         127.12              3         519.26
         211.87              4         253.91
         211.87              4         357.81
         211.87              4         279.14
         317.80              5         441.03
          63.56              2         205.82
         317.80              5         343.17
         762.73              8         299.62
          63.56              2         230.40
           0.00              0         287.94
         444.92              6         183.52
         127.12              3         262.09
         127.12              3         437.63
         317.80              5         321.28
         444.92              6         223.50
         127.12              3         342.58
         444.92              6         184.88
         444.92              6         262.09
         211.87              4         221.71
         317.80              5         404.03
         317.80              5         197.89
         127.12              3         317.76
         444.92              6         275.30
         444.92              6         435.14
         444.92              6         146.38
         127.12              3         144.81
         444.92              6         162.84
          63.56              2         137.98
         127.12              3         301.04
         127.12              3         180.72
         444.92              6         324.45
         211.87              4         506.80
         317.80              5         335.90
         211.87              4         302.22
          63.56              2         508.67
         317.80              5         449.89
         127.12              3         211.15
         444.92              6         134.28
         444.92              6         385.42
          21.19              1         353.94
          63.56              2         405.65
          21.19              1         402.36
         444.92              6         118.00
         127.12              3         250.68
         127.12              3         433.29
         444.92              6         264.74
         127.12              3         399.05
         444.92              6         298.24
         317.80              5         216.18
         211.87              4         319.75
           0.00              0         148.99
         127.12              3         399.55
         211.87              4         390.95
         211.87              4         431.84
         127.12              3         202.74
          63.56              2         193.83
         317.80              5         357.48
         211.87              4         204.86
         444.92              6         193.64
         317.80              5         166.60
         317.80              5         177.34
         211.87              4         175.45
         127.12              3         189.98
         593.23              7         103.56
         317.80              5         354.67
         211.87              4         223.03
         127.12              3         311.89
          21.19              1         271.74
          21.19              1         392.14
         211.87              4         277.06
         127.12              3         183.26
          21.19              1         260.13
         762.73              8         310.79
         593.23              7         273.15
         444.92              6         278.49
          21.19              1         460.04
         127.12              3         199.81
           0.00              0         205.97
         211.87              4         320.92
         127.12              3         345.85
         444.92              6         322.90
         317.80              5         209.73
         127.12              3         318.52
         211.87              4         519.42
         127.12              3         327.49
         127.12              3         182.64
         127.12              3         203.36
         127.12              3         250.28
          63.56              2         292.39
         317.80              5         142.23
         211.87              4         158.29
           0.00              0         237.84
         211.87              4         328.43
         127.12              3         264.96
         211.87              4         186.96
         444.92              6         207.28
         593.23              7         242.58
         317.80              5         270.17
         127.12              3         264.33
         127.12              3         395.98
         444.92              6         409.63
          63.56              2         220.43
         211.87              4         114.82
         211.87              4         317.03
         127.12              3         143.54
         211.87              4         182.58
          21.19              1         457.05
          21.19              1         369.34
         317.80              5         309.31
          63.56              2         105.08
         211.87              4         179.69
         127.12              3         127.37
          63.56              2         158.28
         317.80              5         177.83
          21.19              1         368.38
         444.92              6         269.39
          21.19              1         394.38
         211.87              4         313.71
          21.19              1         359.63
          21.19              1         157.09
         211.87              4         400.54
         127.12              3         335.49
         317.80              5         297.73
         211.87              4         370.47
         211.87              4         147.19
         593.23              7         326.66
          21.19              1         295.32
          21.19              1         488.51
         127.12              3         579.63
          63.56              2         104.93
         444.92              6         247.32
         127.12              3         396.33
         211.87              4         329.05
         444.92              6         174.93
         127.12              3         301.67
         127.12              3         226.30
         317.80              5         113.86
         127.12              3         194.15
         444.92              6         287.68
         317.80              5         271.03
          63.56              2         437.67
         593.23              7         320.10
         211.87              4         370.83
         211.87              4         181.46
         593.23              7         165.79
         593.23              7         265.52
         127.12              3         195.12
         953.41              9         275.57
         317.80              5         288.29
         127.12              3         110.07
         127.12              3         274.27
          63.56              2         264.84
         317.80              5         270.39
         211.87              4         151.93
          63.56              2         256.26
          21.19              1         325.55
         317.80              5         281.86
         953.41              9         278.80
          63.56              2         257.17
         211.87              4         171.49
         211.87              4         250.77
         444.92              6         155.66
         127.12              3         224.14
          21.19              1         145.84
          21.19              1         351.51
         211.87              4         501.09
         211.87              4         135.82
          63.56              2         224.78
         211.87              4         209.93
         317.80              5         248.84
          63.56              2         205.12
         211.87              4         418.94
          63.56              2         328.76
         317.80              5         535.51
         762.73              8         209.24
          63.56              2         195.60
         444.92              6         213.09
          21.19              1         150.23
         762.73              8         277.74
         211.87              4         354.43
         444.92              6         197.89
         444.92              6         280.28
          21.19              1         306.07
          63.56              2         224.72
         211.87              4         264.40
          63.56              2         404.79
         317.80              5         247.06
         127.12              3         399.32
          63.56              2         491.56
         762.73              8         110.74
          21.19              1         265.53
           0.00              0         165.17
          63.56              2         415.20
         127.12              3         163.61
         211.87              4         547.06
          21.19              1         268.20
          63.56              2         278.13
         211.87              4         105.48
         211.87              4         197.70
         127.12              3         496.24
          21.19              1          85.74
         127.12              3         285.87
          63.56              2         246.56
          21.19              1         421.82
         317.80              5         220.80
         211.87              4         288.87
         211.87              4         297.12
           0.00              0         336.66
           0.00              0         373.37
          63.56              2         123.54
         211.87              4         214.27
          21.19              1         382.55
         762.73              8         235.49
         127.12              3         508.26
         127.12              3         468.60
         444.92              6         263.81
         317.80              5         288.03
         593.23              7         209.24
         317.80              5         125.99
         211.87              4         332.67
         317.80              5         271.79
         127.12              3         526.87
         127.12              3         291.80
          63.56              2         119.11
          21.19              1         130.52
          21.19              1         465.56
          63.56              2         506.53
         317.80              5         312.83
         317.80              5         219.01
         211.87              4         267.30
         211.87              4         302.11
          21.19              1         242.44
         211.87              4         318.84
          21.19              1         297.73
         444.92              6         171.56
         127.12              3         357.36
         593.23              7         258.51
         317.80              5         345.73
         127.12              3         521.78
          63.56              2         142.51
         211.87              4         138.20
         127.12              3         218.00
         211.87              4         214.19
         127.12              3         374.32
         593.23              7         140.29
         444.92              6         203.85
          21.19              1         435.21
          21.19              1         276.15
         444.92              6         396.92
          21.19              1         335.22
          63.56              2         271.38
         127.12              3         268.24
         211.87              4         117.17
         444.92              6         446.29
         317.80              5         223.18
         127.12              3         296.17
         211.87              4         148.34
          21.19              1         191.76
         317.80              5         435.72
         127.12              3         249.12
         127.12              3         135.29
           0.00              0         395.24
         127.12              3         271.67
         127.12              3         390.46
         444.92              6         203.96
          63.56              2         118.72
         317.80              5         182.85
         317.80              5         347.26
          63.56              2         550.41
         127.12              3         172.69
         127.12              3         276.37
         211.87              4         177.60
          63.56              2         245.78
          21.19              1         304.39
          63.56              2         493.77
          21.19              1         561.90
         317.80              5         212.22
          21.19              1         292.67
         211.87              4         582.88
          63.56              2         159.40
         211.87              4         193.67
         211.87              4         294.73
         127.12              3         496.78
          21.19              1         457.27
         317.80              5         198.71
          21.19              1         152.75
          63.56              2         371.95
         593.23              7         462.04
          21.19              1         333.76
          21.19              1         237.29
         317.80              5         198.29
          21.19              1         306.37
         211.87              4         371.34
         444.92              6         271.84
          63.56              2         450.83
         317.80              5         277.35
         317.80              5         479.02
          63.56              2         397.21
         317.80              5         363.34
         211.87              4         223.05
          21.19              1         192.73
         444.92              6         347.45
          21.19              1         325.18
          63.56              2         358.11
         444.92              6         206.19
         127.12              3         333.80
         953.41              9         233.30
         317.80              5         227.01
         127.12              3         201.13
          21.19              1         535.99
           0.00              0         288.99
         127.12              3         184.37
          63.56              2         314.38
         593.23              7         165.00
          21.19              1         597.04
          63.56              2         221.58
         127.12              3         185.68
         444.92              6         325.61
         444.92              6         152.82
         127.12              3         189.56
         444.92              6         253.53
          63.56              2         394.46
         211.87              4         247.13
         127.12              3         418.56
          63.56              2         180.45
         953.41              9         166.18
         211.87              4         381.96
          21.19              1         170.55
         127.12              3         422.45
         127.12              3         317.64
         211.87              4         287.67
         317.80              5         116.90
         211.87              4         363.37
         593.23              7         106.60
         444.92              6         113.85
          63.56              2         328.78
         127.12              3         375.75
         317.80              5         335.33
         211.87              4         428.34
         317.80              5         357.59
         127.12              3         295.35
         211.87              4          93.66
          63.56              2         188.16
          63.56              2         309.21
         317.80              5         170.53
         127.12              3         213.70
         211.87              4         249.95
         127.12              3         381.83
         444.92              6         373.91
         593.23              7         465.93
           0.00              0         402.83
         127.12              3         341.16
         211.87              4         232.20
         211.87              4         229.85
          63.56              2         196.47
         317.80              5         302.20
          63.56              2         128.33
         317.80              5         359.48
          21.19              1         510.40
          21.19              1         176.80
          63.56              2         360.70
         211.87              4         151.08
          21.19              1         347.66
         127.12              3         427.39
          63.56              2         252.38
         211.87              4         133.49
         593.23              7         198.56
          63.56              2         187.82
         317.80              5         263.10
         593.23              7         465.30
         211.87              4         246.84
         444.92              6         330.14
           0.00              0         239.73
         444.92              6         294.29
           0.00              0         138.96
         593.23              7         206.20
         211.87              4         232.25
         127.12              3         330.27
          63.56              2         150.46
         762.73              8         232.10
         444.92              6         176.65
         211.87              4         319.53
         593.23              7         253.98
         127.12              3         473.62
          63.56              2         438.85
          21.19              1         276.95
         211.87              4         307.83
         127.12              3         195.07
         211.87              4         234.00
          21.19              1         337.60
         211.87              4         304.26
