 #Erot(HCl)cm-1             #J    #Speed(m/s)
         215.82              5         200.22
          46.15              2         259.52
         181.07              3         416.61
         133.92              3         556.30
         261.43              4         253.35
          80.59              3         346.84
         478.06              6          87.87
          63.44              2         281.44
          37.06              1         381.17
          57.28              2         223.81
          60.83              2         536.97
         365.69              6         297.48
          63.83              2         360.41
         127.40              3         240.06
         217.03              4         180.73
         212.84              4         232.04
         205.23              4         323.78
         127.08              3         356.45
          86.04              2         181.17
         432.11              6          96.84
         233.10              4         434.18
         166.06              4         224.22
          53.40              2         161.45
         204.62              4         559.50
         142.33              3         174.17
         173.94              3         108.18
          90.21              3         155.07
         140.47              3         457.40
          51.39              2         140.26
         224.70              4         357.74
         115.83              3         216.96
         688.67              8         369.82
          20.10              1         314.24
         111.91              3         536.31
          26.48              1         272.30
          74.36              2         223.67
         449.88              6         432.60
          45.85              2         423.26
         230.98              4         207.48
         178.63              4         291.94
         385.36              6          96.84
          79.77              2         486.73
         150.04              3         500.88
         347.32              5         401.49
          59.86              2         280.71
          95.45              2         537.64
          16.41              1         525.31
         341.34              5         258.86
         654.99              8         298.51
          26.57              1         387.65
         188.11              4         231.18
          78.18              2         270.50
         324.30              5         150.88
         129.83              3         409.23
         230.20              4         205.07
         780.12              9         330.26
         137.42              3         206.97
          56.43              2         516.44
          24.02              1         450.40
         116.40              3         196.56
         188.70              4         353.60
          90.76              3         182.05
         160.33              3         255.31
         429.98              6         238.79
         218.11              4         299.94
         271.22              5         444.33
          72.37              2         318.43
          10.54              1         311.11
          42.65              1         243.64
         173.43              4         448.66
         159.04              4         568.38
         229.92              4         601.32
          83.20              3         277.67
         492.51              6         224.12
         255.47              5         637.52
         226.00              4         154.34
         706.74              8         361.22
          77.91              2         236.67
          94.10              3         221.15
          41.49              2         354.97
         355.37              6         261.59
         218.12              5         249.67
         239.47              5         387.07
         494.35              6         292.22
         441.05              6         423.25
          69.26              2         195.69
         210.78              4         395.46
          50.55              2         499.58
         344.81              5         471.78
         453.53              6         330.88
         600.20              8         390.76
         230.62              4         102.40
         616.74              7         146.80
          14.82              1         191.46
         442.83              6         207.77
          66.08              2         110.93
         114.85              3         372.56
         136.14              3         183.23
          37.50              1          99.92
         241.16              4         203.39
         137.22              3         395.00
         392.24              6         557.48
         657.99              8         373.10
         130.75              3         191.63
         244.37              4         306.87
         120.40              3         449.26
          98.30              3         444.16
         121.47              3         213.64
         201.26              4          92.46
          47.96              2         538.70
          42.55              2         406.20
          83.50              2         414.06
         121.89              3         222.57
         119.36              3         189.99
         398.03              6         243.06
         133.64              3         492.63
         142.52              3         222.93
          95.80              2         168.53
          42.46              2         236.64
          36.59              1         335.49
         291.65              5         236.75
          33.72              1         399.44
         169.69              4         288.09
         145.15              3         228.55
           1.95              0         662.47
         269.62              5         190.40
         150.76              3         237.60
         275.81              5         406.27
          23.22              1         226.15
         171.43              4         268.85
          92.49              2         278.97
          37.19              2         362.41
         328.21              5         237.56
         348.39              5         237.77
         247.95              4         318.05
         362.92              6         216.26
         150.69              4         155.27
         316.73              5         441.13
         237.50              4         359.41
         322.17              5         330.44
         398.58              5         283.66
         242.42              5         281.22
          58.00              2         463.90
          52.98              2         275.92
         134.65              3         220.66
         320.95              5         413.54
         113.78              3         461.58
         339.67              6         215.34
         148.56              3         515.72
          96.05              3         247.83
         161.07              3         116.60
         618.05              8         316.12
          27.11              1         411.97
         107.08              3         186.35
         564.79              7         188.63
         165.71              4         354.01
         804.98              8         385.80
          42.14              2         470.87
          46.70              2         428.71
         297.80              5         226.66
         225.67              4         444.98
         150.75              4         207.47
         166.07              4         517.36
         331.40              5         209.45
          13.56              1         358.13
          48.68              2         214.99
         760.24              8         394.07
         402.27              6         305.17
          39.05              1         204.38
         220.40              4         263.58
         212.32              4         492.66
          91.07              2         261.88
          76.47              2         441.25
          11.38              1         254.21
         646.55              7         170.40
          25.66              1         332.09
           9.28              0         217.53
          13.22              1         213.53
         197.37              4         340.66
         262.50              4         284.04
          45.42              2         182.29
         888.03              9         262.41
         169.05              3         388.47
         135.57              3         650.17
         106.97              3         426.15
          61.32              2         305.80
          55.33              2         298.67
         156.42              4         304.91
         450.25              6         185.53
          20.90              1         271.67
         260.75              4         309.35
          67.78              2         200.80
         670.06              7         288.89
          29.22              1         227.05
         531.99              7         262.58
         564.59              6         244.83
         239.70              5         410.04
          53.34              2         265.85
         335.59              5         407.45
         457.76              6         346.29
         473.63              6         358.81
         603.26              7         370.63
          34.85              1         284.15
         131.61              3         302.65
          74.88              2         261.62
         234.09              4         464.10
         124.92              3         328.00
          44.22              1         202.52
          41.68              2         202.95
         140.13              3         205.54
         227.52              4         370.25
          80.51              2         135.96
         252.57              4         267.10
         534.32              7         270.66
         279.34              5         191.35
         374.46              6         274.38
          22.41              1         205.21
         457.21              6         207.42
          50.35              2         165.41
         771.61              9         457.29
          68.51              2         161.59
         549.86              7         150.21
         247.45              5         266.87
         157.66              3         185.71
         747.37              7         245.34
           0.61              0         243.67
         436.25              6         227.94
          76.21              2         473.34
         109.77              3         168.30
          35.79              1         358.20
          59.79              2         409.65
          44.33              1         475.89
         125.82              3         436.69
         278.93              5         163.54
         218.88              4         350.58
         457.95              6         280.64
         249.33              5         211.15
         163.64              4         251.30
         556.31              7         206.18
         146.13              3         383.12
          78.48              2         277.71
         230.48              4         134.29
          44.27              2         124.32
         357.89              5         214.52
          80.72              2         360.97
         112.58              3         206.55
         108.77              3         469.75
          38.14              1         474.17
         123.11              3         308.14
         307.09              5         461.27
         264.97              5         484.78
         458.71              6         279.16
           2.47              0         271.80
         283.59              5         286.16
         547.16              7         210.13
         158.74              4         550.03
         222.23              4         519.23
         317.35              5         494.73
          50.31              2         480.69
          69.58              2         173.27
         275.84              5         400.95
         197.91              4         325.01
         626.65              8         185.55
           1.50              0         322.53
         150.03              3         240.64
         195.23              4         211.73
          22.97              1         203.11
         185.57              4         312.95
         183.56              4         537.35
         245.98              4         200.24
         590.40              7         330.45
         187.09              4         210.88
          47.15              2         111.66
         830.79              9         334.30
          97.33              3         290.89
         355.63              6         329.79
         491.93              6         387.51
         112.48              3         238.52
         601.12              7         263.69
         168.56              4         191.07
         263.37              4         190.59
         359.36              6         215.62
         146.89              3         173.56
         272.41              5         387.83
           9.52              1         352.09
         273.18              5         275.06
         159.36              4         153.78
         769.44              7         363.35
           1.58              0         366.22
         332.96              5         219.50
          89.26              2         277.44
         555.61              7         479.25
         121.17              3         348.41
          39.14              2         225.02
          48.31              2         132.93
          66.43              2         462.99
          22.40              1         188.30
         299.25              5         493.65
         161.28              3         400.75
         138.02              3         580.00
          93.70              3         161.70
          83.37              2         325.46
         608.29              7         358.66
          29.66              1         299.53
          68.96              2         235.22
         539.79              6         163.92
         742.02              8         366.67
         257.75              5         248.98
         485.54              7         312.89
         142.61              3         187.71
          98.60              3         265.47
         246.50              5         180.81
          23.74              1         422.30
          45.62              2         161.20
           3.36              0         325.09
          21.52              1         277.83
          39.34              1         233.85
         264.74              4         456.41
         199.35              4         262.85
         206.34              4         405.90
         176.30              4         349.98
         151.71              3         276.23
         118.39              3         350.93
          68.33              2         292.16
         172.63              3         432.87
         414.34              6         521.28
         328.68              5         233.99
          84.86              2         343.49
        1014.62             10         115.24
          51.14              2         193.04
           5.02              0         398.80
         595.51              7         343.29
         175.03              4         298.13
         381.33              5         234.55
         214.97              4         366.45
          29.16              1         315.57
         219.58              4         500.24
         130.03              3         155.90
          40.92              2         305.67
         269.96              5         297.40
         223.77              4          61.93
         371.35              6         335.29
        1237.54             10         171.70
         164.28              3         494.73
         499.50              6         176.22
         365.38              6         382.06
         173.08              3         326.61
          41.41              2         462.24
