   #Hard on HCl         #J all              #              #
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         329.22              6         234.77
         688.72              8         170.51
          80.91              3         217.52
         214.97              5         435.32
          63.27              2         389.56
         105.25              3         208.43
         416.36              6         398.34
          23.73              1         411.06
         192.05              4         360.89
          74.28              2         204.83
         537.73              7         158.65
         601.62              7         187.93
        2311.78             13         526.18
         127.36              3         502.52
          42.01              2         355.95
          16.42              1         303.60
         638.39              8         209.82
         346.51              5         291.09
         247.43              5         323.94
          17.41              1         136.97
         149.67              3         307.05
         594.03              7         109.57
         456.74              6         679.00
         105.09              3         244.63
        1221.25             13         382.07
          63.92              2         235.97
          52.54              2         490.96
         162.35              4         439.82
         291.96              5         151.28
         250.65              5         393.21
         295.90              6         371.83
         106.63              3         332.26
         318.37              5         333.77
         417.16              5         400.72
         282.27              5         430.50
         366.79              5         274.97
         436.41              5         463.59
         165.25              4         239.80
         110.55              2         220.78
         284.24              5         284.75
          49.18              2         188.93
          62.87              2         690.55
         377.68              6         268.37
         142.01              3         470.31
         294.10              5         173.58
         219.01              4         276.17
         225.18              4         174.45
         170.75              4         202.17
         194.83              4         122.02
           2.35              0         559.61
         299.62              5         633.97
         167.20              3         349.07
          80.09              2         147.89
         216.34              5         250.43
         499.34              6         399.87
         976.05              9         815.03
         112.92              3         497.56
         512.41              6         427.56
         108.13              3         556.18
           5.54              0         153.56
         764.19              9         174.53
         107.62              2         512.77
          37.23              2         340.25
        1005.25              8         182.25
          68.87              2         311.84
          30.19              1         112.36
          60.15              2         387.57
           4.11              0         172.50
          28.28              1         358.83
         243.52              5         275.56
           6.75              0         235.63
         322.44              5         297.15
         263.05              5         371.54
        1004.23             10         396.41
         124.67              3         462.86
          51.42              2         309.70
          87.65              3         202.20
         364.55              6         265.76
         885.15              9         260.54
         215.82              5         200.22
         133.92              3         556.30
          80.59              3         346.84
          37.06              1         381.17
          63.83              2         360.41
         233.10              4         434.18
         204.62              4         559.50
         115.83              3         216.96
          20.10              1         314.24
         347.32              5         401.49
          59.86              2         280.71
          95.45              2         537.64
         654.99              8         298.51
         324.30              5         150.88
         130.75              3         191.63
         186.47              4         201.72
         293.29              5         373.15
         331.11              6         173.90
         120.40              3         449.26
          98.30              3         444.16
         255.50              4         161.45
         214.83              4         195.57
         105.80              3         296.71
         109.19              3         108.18
         291.96              5         291.37
         100.64              3         156.17
         144.16              3         132.98
         366.60              6         406.58
           7.79              0         438.07
         320.05              5         232.08
          47.96              2         538.70
          42.55              2         406.20
         133.64              3         492.63
          42.46              2         236.64
         145.15              3         228.55
           1.95              0         662.47
         269.62              5         190.40
        1152.82             10         280.68
           9.28              0         217.53
         844.51              9         455.66
         278.00              5         452.43
         114.33              3         222.06
         212.70              4         315.33
         819.36              9         256.22
         266.57              5         329.11
          61.47              2         501.36
          28.00              1         214.39
         135.57              3         650.17
         106.97              3         426.15
         225.02              5         174.48
          45.72              2         300.94
         849.12              9         425.18
         231.85              4         237.42
         936.73              9         301.97
         205.05              4         193.14
          34.37              1         214.13
        1090.62             10         165.94
         592.10              7         391.73
         587.28              6         491.12
          58.75              2         577.96
          35.18              1         328.68
         790.43              9         404.14
         337.01              5         208.82
         494.32              6         337.24
         201.16              4         485.31
         260.46              5         448.80
          87.43              3         305.59
          95.53              2         301.21
         436.58              6         366.79
          57.21              2         311.05
          20.71              1         225.31
         368.32              6         197.85
         172.87              3         461.67
         108.82              3         209.19
          53.16              2         123.56
         101.04              3         312.24
         495.84              6         206.03
         144.85              3         686.50
         215.45              4         435.90
           1.70              0         385.01
         301.55              5         108.66
         119.82              3         199.70
         674.67              8         159.04
         349.79              6         353.46
         301.23              5         253.26
         244.05              5         407.17
          83.01              2         223.59
         419.15              6         133.78
         140.75              3         165.55
         241.71              5         339.02
         145.54              3         395.98
         511.60              6         327.91
         169.41              4         435.13
          22.21              1         446.00
          46.01              2         644.44
         299.42              5         332.21
         205.98              4         354.43
          71.20              2         395.52
          41.27              1         408.19
         112.12              3         445.10
          47.31              2         327.79
           2.35              0         205.14
         295.84              5         298.50
          57.07              2         103.30
         678.66              7         641.05
         262.95              4         152.72
          46.72              2         371.06
         108.76              3         629.38
          98.15              3         344.53
         141.92              4         185.35
          57.72              2         263.67
         110.95              3         316.73
           1.09              0         501.47
          89.54              2         206.93
          16.10              1         473.69
         546.32              7         108.18
          77.01              2         439.02
         338.31              5          85.36
          91.55              3         207.18
         131.75              3         639.59
          15.69              1         545.14
         854.78              9         391.46
        1107.81              9         306.22
          17.83              1         489.48
         108.00              3         522.55
         938.81              9         307.88
         298.12              4         415.95
         382.72              5         392.20
          75.33              2         238.46
          38.16              1         412.96
         451.08              7         191.02
         827.18              9         360.83
         302.97              5         324.83
          75.78              2         635.68
         100.31              2         157.11
          36.59              1         239.35
          81.66              2         153.85
          82.00              3         367.75
         231.96              4         547.99
        1480.58             10         549.21
         297.44              5         560.04
         387.55              6         452.90
         287.90              6         184.89
        1469.51             12         445.85
        1218.60             11         516.39
          91.91              3         209.97
          97.33              3         290.89
         359.36              6         215.62
          19.44              1         637.53
           9.52              1         352.09
          39.14              2         225.02
          22.40              1         188.30
         956.78              9         382.66
         299.25              5         493.65
         138.02              3         580.00
          83.37              2         325.46
         608.29              7         358.66
         246.50              5         180.81
          21.52              1         277.83
          39.34              1         233.85
         199.35              4         262.85
         176.30              4         349.98
          68.33              2         292.16
          84.86              2         343.49
         219.58              4         500.24
         135.72              3         545.75
           5.95              0         169.56
        2179.32             15         351.78
         121.59              3         229.19
         114.67              3         499.95
          30.91              1         443.42
         527.56              7         234.36
         152.54              4         243.96
          64.12              2         294.26
         510.86              7         140.04
         116.60              3         448.15
         290.51              5         594.89
         247.46              4         294.31
         364.60              6         187.36
          87.78              2         128.96
         318.14              4         370.99
         769.58              9         357.31
         894.62              8         427.89
         183.08              4         316.24
          98.43              2         363.68
         105.78              3         372.27
         166.63              4         309.51
         256.57              5         468.06
          33.86              1         209.63
         197.02              4         267.25
         213.66              4         354.27
         672.49              8         288.57
         117.72              3         214.66
         345.78              6         171.19
          86.47              3         316.67
          15.07              1         279.25
         411.38              6         400.17
         333.31              5         286.84
          57.39              2         378.30
         119.09              3         198.34
          33.97              1         238.70
          15.52              1         151.59
          40.69              2         226.16
          24.85              1         447.37
           9.20              1         228.80
           0.09              0         488.80
         159.46              3         298.68
          40.09              1         386.67
         435.77              7          96.56
         150.35              4         345.78
         550.90              6         537.72
          71.63              2         249.25
          72.48              2         307.83
         224.59              4         242.93
           1.32              0         248.58
         274.96              4         311.94
         823.55              9         293.39
          13.93              1         144.65
         130.06              4         185.71
          90.54              3         577.44
         237.19              4         220.60
         337.69              6         289.73
         153.86              4         262.04
         163.43              4         483.81
         622.10              7         245.19
         348.87              5         245.48
         244.30              5         201.18
          15.23              1         302.96
         601.17              7         412.68
